date,open,high,low,close,volume,lag_1,lag_2,lag_3,lag_5,lag_7,roll_mean_3,roll_std_3,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,pct_change_1,vol_ma_7,target_close
2019-01-15,104.41458494482987,105.43919169016353,103.92613544877388,104.70774620841367,1646780,108.72684250727718,108.13705597684114,109.08354477518405,108.78040395107121,108.00440362426974,108.64914775310079,0.4780037839466856,108.92946039507235,0.7579724613774229,105.83275666606883,3.592435715283841,0.005454064983629214,783206.4285714285,101.21781139443034
2019-01-16,101.20525825733196,101.51316462715039,101.11522713448507,101.21781139443034,1060655,104.70774620841367,108.72684250727718,108.13705597684114,110.03322969703528,109.74074223382789,107.190548230844,2.1702975486806775,108.45850933566435,1.7730251857284247,106.16902425238409,3.20377496736374,-0.036965078780748284,966969.2857142857,100.14598712913052
2019-01-17,100.12769834251918,100.66593450437723,99.6707100606638,100.14598712913052,1405163,101.21781139443034,104.70774620841367,108.72684250727718,109.08354477518405,108.78040395107121,104.8841333700404,3.757621772679611,107.240947787179,3.1429312871895663,106.18036818078808,3.1845128239083857,-0.03333024480382618,937563.5714285715,98.1966764709742
2019-01-18,98.41960007316254,99.16726723876835,97.99172509012735,98.1966764709742,1296688,100.14598712913052,101.21781139443034,104.70774620841367,108.13705597684114,110.03322969703528,102.02384824399151,2.3853056463467834,106.00745966975889,4.012193775728427,106.13076644007246,3.278118100967233,-0.010589285132071136,992572.4285714285,98.87508808388819
2019-01-19,98.96864542520024,100.37011844109223,98.70499627488721,98.87508808388819,144772,98.1966764709742,100.14598712913052,101.21781139443034,108.72684250727718,109.08354477518405,99.85349166484502,1.531658987471678,104.3165234946073,4.4976447019673405,105.84363734956003,3.784306954669323,-0.019464690638505866,1026656.2857142857,97.1539501618655
2019-01-20,97.00469446833452,97.37310948809025,96.83574054840383,97.1539501618655,222431,98.87508808388819,98.1966764709742,100.14598712913052,104.70774620841367,108.13705597684114,99.0725838946643,0.9895486127303403,102.85817253870789,4.346839120870018,105.37462860732987,4.219842243932838,0.006908702384795351,933578.8571428572,94.50481271569947
2019-01-21,94.76764372180796,95.02907959957169,94.08056640430908,94.50481271569947,982522,97.1539501618655,98.87508808388819,98.1966764709742,101.21781139443034,108.72684250727718,98.07523823890931,0.8669713777351264,101.2891574222828,4.098962177154006,104.81337043107479,4.759843885721594,-0.017407194829120454,941137.7142857143,97.3744384009353
2019-01-22,97.5527846064909,98.13822898620931,97.13698821695529,97.3744384009353,294904,94.50481271569947,97.1539501618655,98.87508808388819,100.14598712913052,104.70774620841367,96.84461698715104,2.2014976625433698,99.25743888062884,3.230633519531632,104.09344963785061,5.5016577344670266,-0.02726741878999639,965573.0,96.99391172191339
2019-01-23,97.07860162180904,97.30341690859156,96.47289291879028,96.99391172191339,258988,97.3744384009353,94.50481271569947,97.1539501618655,98.1966764709742,101.21781139443034,96.34440042616676,1.5969395650021312,98.20982347956048,2.1901032039784476,103.33416640761243,5.651858022195239,0.030364862939505244,772447.8571428572,97.18328919984194
2019-01-24,97.15027349532541,97.38320815456126,96.9091464593206,97.18328919984194,931303,96.99391172191339,97.3744384009353,94.50481271569947,98.87508808388819,100.14598712913052,96.29105427951606,1.5585872871263136,97.60640924062952,1.7635665172517456,102.42367851390425,5.566481205448288,-0.003907870333024199,657924.0,94.50982630425531
