date,open,high,low,close,volume
2019-01-01,100.08887904238017,100.16657756317045,99.40290529945386,100.0,205509
2019-01-02,101.17698698056186,102.14211808278576,100.57453045402887,101.05899639677429,455752
2019-01-03,100.75703880747875,101.27421939182281,100.0756649549316,100.84041149914928,1262886
2019-01-04,102.09103361885552,102.42787025455338,101.28268274115435,102.21648373814838,932234
2019-01-05,105.44067676479916,106.43641083305471,105.2229423408045,105.44121047511032,1871956
2019-01-06,104.98475759920575,105.30378720147003,104.87238837242684,105.01156462943656,658910
2019-01-07,104.51260341872705,105.28205186524292,104.31434018945292,104.58370382083827,209935
2019-01-08,108.11722299070072,108.37996746012342,107.63153317085273,108.00440362426974,360440
2019-01-09,109.89799608780045,110.7482241264154,109.59499720392454,109.74074223382789,1266495
2019-01-10,108.79482935627553,109.38378529854158,108.42264523104231,108.78040395107121,1020101
2019-01-11,110.27709580722484,110.53686709905315,109.994975386918,110.03322969703528,1058101
2019-01-12,108.89673553178267,109.1346156121186,108.25043700636114,109.08354477518405,796314
2019-01-13,108.10564333115828,108.85389470828703,107.533864918446,108.13705597684114,169519
2019-01-14,108.60993576594036,109.42658866029002,108.2900186114389,108.72684250727718,811475
2019-01-15,104.41458494482987,105.43919169016353,103.92613544877388,104.70774620841367,1646780
2019-01-16,101.20525825733196,101.51316462715039,101.11522713448507,101.21781139443034,1060655
2019-01-17,100.12769834251918,100.66593450437723,99.6707100606638,100.14598712913052,1405163
2019-01-18,98.41960007316254,99.16726723876835,97.99172509012735,98.1966764709742,1296688
2019-01-19,98.96864542520024,100.37011844109223,98.70499627488721,98.87508808388819,144772
2019-01-20,97.00469446833452,97.37310948809025,96.83574054840383,97.1539501618655,222431
2019-01-21,94.76764372180796,95.02907959957169,94.08056640430908,94.50481271569947,982522
2019-01-22,97.5527846064909,98.13822898620931,97.13698821695529,97.3744384009353,294904
2019-01-23,97.07860162180904,97.30341690859156,96.47289291879028,96.99391172191339,258988
2019-01-24,97.15027349532541,97.38320815456126,96.9091464593206,97.18328919984194,931303
2019-01-25,94.37381165083698,95.05510109408964,93.3946526649034,94.50982630425531,614743
2019-01-26,93.49030027900888,94.41702783005468,92.93864759235481,93.5425260220632,1961380
2019-01-27,93.95974062349194,94.14226717980709,93.26983212242119,93.80654300716454,139080
2019-01-28,91.98611375895032,92.07369552695567,91.09028931934455,91.72681311512464,206242
2019-01-29,92.688173608201,92.89635992233362,92.12092197878455,92.47410850397874,929154
2019-01-30,91.35768263328917,91.65776669306865,91.3334240616137,91.42472201703167,614080
2019-01-31,90.79472693433574,90.96312810161521,90.54459572234552,90.94746648782561,1177624
2019-02-01,89.93248510149378,91.05139241468605,89.83794951864066,89.9134837415872,1758069
2019-02-02,93.11518697109706,93.67012649965541,92.67511922723413,93.3628467713643,1027281
2019-02-03,93.43893950552132,93.65081637130935,93.15979428519024,93.39366677880297,1465431
2019-02-04,91.47336970600637,91.94299496855737,91.07158491197036,91.49362674991356,267403
2019-02-05,93.0019923354616,93.094498737885,92.65674154450491,93.06705130000216,356392
2019-02-06,90.65929071928093,91.0797241122159,90.37027454760064,90.87667268228509,120968
